Input size,1000000,2000000,3000000,4000000,5000000,6000000,7000000,8000000,9000000,10000000
RadixSort,30.788,60.39019999999999,92.25900000000001,120.1378,151.6679,179.25420000000003,210.11919999999998,240.3482,269.95349999999996,None
BubbleSort,None,None,None,None,None,None,None,None,None,None
Cqsort,92.8504,189.10289999999998,297.84259999999995,420.7221,500.04970000000003,None,None,None,None,None
HeapSort,102.66110000000002,217.3808,426.62649999999996,542.6455000000001,None,None,None,None,None,None
InsertionSort,None,None,None,None,None,None,None,None,None,None
MergeSort,73.65239999999999,154.72990000000004,245.7055,323.569,412.29080000000005,489.9838,None,None,None,None
QuickSort_random_pivot,75.6647,150.1773,233.84669999999997,300.5124,372.3481,446.2613999999999,None,None,None,None
QuickSort_right_pivot,62.854000000000006,133.51529999999997,204.4876,266.25690000000003,336.347,405.61690000000004,471.4002,None,None,None
SelectionSort,None,None,None,None,None,None,None,None,None,None
TimSort,48.611799999999995,103.54269999999998,159.778,207.5432,260.40109999999993,312.9156,366.7704,None,None,None
